epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,4160.43,0.60411,0.38653,0.9245,0.97351,1,0.99455,0.85278,0.59138,0.38356,0.84349,0.0008912,0.0008912,0.0008912
58,4218.54,0.58249,0.37984,0.91066,0.97651,1,0.995,0.86745,0.57562,0.39405,0.83579,0.0008714,0.0008714,0.0008714
59,4276.26,0.56851,0.36426,0.90568,0.98987,1,0.995,0.85863,0.60474,0.39536,0.83812,0.0008516,0.0008516,0.0008516
60,4335.31,0.58416,0.36344,0.90394,0.97715,1,0.995,0.87595,0.60015,0.38065,0.83487,0.0008318,0.0008318,0.0008318
61,4392.7,0.59787,0.37895,0.91329,0.97648,1,0.995,0.84462,0.62595,0.38433,0.84788,0.000812,0.000812,0.000812
62,4455.88,0.62431,0.39515,0.94126,0.9761,1,0.99409,0.85296,0.61133,0.40185,0.84582,0.0007922,0.0007922,0.0007922
63,4515.25,0.58678,0.36437,0.91486,0.97628,1,0.995,0.86074,0.61984,0.39485,0.84769,0.0007724,0.0007724,0.0007724
64,4573.28,0.54397,0.35744,0.89967,0.97602,1,0.99455,0.87562,0.57092,0.38661,0.83474,0.0007526,0.0007526,0.0007526
65,4636.36,0.57178,0.36024,0.90265,0.97639,1,0.995,0.8518,0.61117,0.37483,0.84377,0.0007328,0.0007328,0.0007328
66,4694.5,0.52621,0.34551,0.88833,0.99737,0.97674,0.99455,0.85803,0.55354,0.32414,0.8269,0.000713,0.000713,0.000713
67,4754.63,0.5757,0.3587,0.90695,0.98919,1,0.995,0.87502,0.57777,0.35649,0.83488,0.0006932,0.0006932,0.0006932
68,4814.65,0.57019,0.36615,0.89173,0.97597,1,0.99409,0.84737,0.58793,0.39365,0.84315,0.0006734,0.0006734,0.0006734
69,4872.12,0.57551,0.3682,0.92923,0.97568,1,0.99455,0.84686,0.6006,0.3988,0.84591,0.0006536,0.0006536,0.0006536
70,4944.67,0.5365,0.33649,0.89311,0.97604,1,0.99455,0.8658,0.58862,0.40354,0.83988,0.0006338,0.0006338,0.0006338
71,5005.49,0.55132,0.33298,0.90316,0.97605,1,0.99364,0.84395,0.60902,0.40642,0.84905,0.000614,0.000614,0.000614
72,5065.48,0.56558,0.3513,0.9097,0.97603,1,0.99136,0.86393,0.5728,0.41449,0.83405,0.0005942,0.0005942,0.0005942
73,5122.94,0.55458,0.3505,0.89899,0.97603,1,0.98409,0.85154,0.592,0.41756,0.84008,0.0005744,0.0005744,0.0005744
74,5183.34,0.56282,0.35737,0.90261,0.97595,1,0.98568,0.85692,0.58158,0.42336,0.84042,0.0005546,0.0005546,0.0005546
75,5241.32,0.56107,0.3457,0.91374,0.97594,1,0.98818,0.85681,0.59552,0.42647,0.84097,0.0005348,0.0005348,0.0005348
76,5303.24,0.52802,0.32749,0.8877,0.97601,1,0.98614,0.86268,0.56682,0.41872,0.83571,0.000515,0.000515,0.000515
77,5361.28,0.55154,0.33459,0.91051,0.97603,1,0.98409,0.8561,0.5813,0.42334,0.83671,0.0004952,0.0004952,0.0004952
78,5422.13,0.55037,0.3415,0.90176,0.97596,1,0.98182,0.86116,0.58966,0.43917,0.84218,0.0004754,0.0004754,0.0004754
79,5481.2,0.52581,0.3185,0.88991,0.97585,1,0.98182,0.84139,0.61022,0.446,0.84823,0.0004556,0.0004556,0.0004556
80,5542.73,0.55277,0.34212,0.91212,0.97588,1,0.98614,0.8387,0.60189,0.42593,0.84021,0.0004358,0.0004358,0.0004358
81,5603.44,0.5313,0.32478,0.9021,0.97593,1,0.98932,0.86038,0.57606,0.3982,0.83351,0.000416,0.000416,0.000416
82,5671.71,0.54928,0.3393,0.90741,0.97601,1,0.98727,0.85096,0.59956,0.39062,0.8386,0.0003962,0.0003962,0.0003962
83,5731.21,0.52865,0.33647,0.90839,0.97596,1,0.98773,0.83633,0.62407,0.39222,0.84676,0.0003764,0.0003764,0.0003764
84,5791.64,0.52848,0.3319,0.90553,0.97595,1,0.99295,0.86232,0.61109,0.38029,0.84761,0.0003566,0.0003566,0.0003566
85,5849.98,0.53582,0.32111,0.91118,0.976,1,0.99205,0.86558,0.6167,0.38881,0.84793,0.0003368,0.0003368,0.0003368
86,5910.22,0.52107,0.32292,0.88717,0.97605,1,0.99205,0.86424,0.61594,0.3962,0.84058,0.000317,0.000317,0.000317
87,5968.59,0.51125,0.32302,0.89024,0.97608,1,0.98977,0.86836,0.60417,0.39308,0.83768,0.0002972,0.0002972,0.0002972
88,6027,0.50434,0.31781,0.89685,0.97609,1,0.98568,0.86441,0.59616,0.38491,0.8409,0.0002774,0.0002774,0.0002774
89,6084.66,0.53045,0.33379,0.90162,0.97605,1,0.98818,0.85814,0.58924,0.3925,0.8412,0.0002576,0.0002576,0.0002576
90,6144.72,0.5278,0.31657,0.90415,0.97605,1,0.99205,0.86356,0.58196,0.37704,0.84365,0.0002378,0.0002378,0.0002378
91,6201.11,0.46582,0.28531,0.83539,0.97608,1,0.99409,0.87812,0.58219,0.36899,0.84516,0.000218,0.000218,0.000218
92,6262.54,0.46579,0.28948,0.85237,0.97674,1,0.995,0.85045,0.61982,0.36104,0.85237,0.0001982,0.0001982,0.0001982
93,6319.31,0.43823,0.27304,0.8271,1,0.99309,0.995,0.84747,0.62673,0.33512,0.85357,0.0001784,0.0001784,0.0001784
94,6376.15,0.44438,0.27239,0.83415,0.97616,1,0.99455,0.86871,0.6014,0.35125,0.84944,0.0001586,0.0001586,0.0001586
95,6432.14,0.43714,0.27144,0.84034,0.97608,1,0.99364,0.86924,0.59904,0.36299,0.84831,0.0001388,0.0001388,0.0001388
96,6490.92,0.44552,0.2642,0.83651,0.976,1,0.99364,0.8666,0.6042,0.36191,0.84721,0.000119,0.000119,0.000119
97,6548.66,0.4506,0.26602,0.84468,0.97603,1,0.99364,0.85212,0.62518,0.36972,0.85167,9.92e-05,9.92e-05,9.92e-05
98,6604.85,0.44416,0.27032,0.82806,0.97603,1,0.9925,0.86,0.62494,0.37668,0.85087,7.94e-05,7.94e-05,7.94e-05
99,6662,0.42759,0.26701,0.81857,0.97605,1,0.9925,0.87476,0.62038,0.37765,0.84854,5.96e-05,5.96e-05,5.96e-05
100,6718.87,0.42866,0.25796,0.83386,0.97604,1,0.99091,0.87119,0.61617,0.38518,0.84693,3.98e-05,3.98e-05,3.98e-05
